
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     167 |        3000 |       00:48:42 |      100.00% |       86.76% |   6.8387e-06 |       0.5070 |      1.0000e-04 |
|     169 |        3030 |       00:49:12 |      100.00% |       86.76% |   4.0134e-06 |       0.5097 |      1.0000e-04 |
|     170 |        3050 |       00:49:31 |      100.00% |              |   1.0900e-05 |              |      1.0000e-04 |
|     170 |        3060 |       00:49:41 |      100.00% |       86.76% |   4.7724e-06 |       0.5128 |      1.0000e-04 |
|     172 |        3090 |       00:50:10 |      100.00% |       86.76% |   6.5565e-06 |       0.5156 |      1.0000e-04 |
|     173 |        3100 |       00:50:20 |      100.00% |              |   6.5764e-06 |              |      1.0000e-04 |
|     174 |        3120 |       00:50:40 |      100.00% |       86.76% |   3.8227e-06 |       0.5185 |      1.0000e-04 |
|     175 |        3150 |       00:51:09 |      100.00% |       86.76% |   4.5697e-06 |       0.5219 |      1.0000e-04 |
|     177 |        3180 |       00:51:38 |      100.00% |       86.76% |   6.2903e-06 |       0.5249 |      1.0000e-04 |
|     178 |        3200 |       00:51:57 |      100.00% |              |   2.3683e-06 |              |      1.0000e-04 |
|     179 |        3210 |       00:52:08 |      100.00% |       86.76% |   3.6677e-06 |       0.5283 |      1.0000e-04 |
|     180 |        3240 |       00:52:37 |      100.00% |       86.76% |   4.3790e-06 |       0.5323 |      1.0000e-04 |
|     181 |        3250 |       00:52:47 |      100.00% |              |   4.8399e-06 |              |      1.0000e-04 |
|     182 |        3270 |       00:53:06 |      100.00% |       86.76% |   6.0161e-06 |       0.5362 |      1.0000e-04 |
|     184 |        3300 |       00:53:35 |      100.00% |       86.76% |   3.5246e-06 |       0.5401 |      1.0000e-04 |
|     185 |        3330 |       00:54:04 |      100.00% |       83.82% |   4.1803e-06 |       0.5445 |      1.0000e-04 |
|     187 |        3350 |       00:54:23 |      100.00% |              |   3.8703e-06 |              |      1.0000e-04 |
|     187 |        3360 |       00:54:34 |      100.00% |       83.82% |   5.7539e-06 |       0.5484 |      1.0000e-04 |
|     189 |        3390 |       00:55:03 |      100.00% |       83.82% |   3.3736e-06 |       0.5522 |      1.0000e-04 |
|     189 |        3400 |       00:55:12 |      100.00% |              |   1.4424e-06 |              |      1.0000e-04 |
|     190 |        3420 |       00:55:32 |      100.00% |       83.82% |   4.0015e-06 |       0.5564 |      1.0000e-04 |
|     192 |        3450 |       00:56:01 |      100.00% |       83.82% |   5.4995e-06 |       0.5604 |      1.0000e-04 |
|     194 |        3480 |       00:56:31 |      100.00% |       83.82% |   3.2147e-06 |       0.5643 |      1.0000e-04 |
|     195 |        3500 |       00:56:50 |      100.00% |              |   8.7222e-06 |              |      1.0000e-04 |
|     195 |        3510 |       00:57:01 |      100.00% |       83.82% |   3.8147e-06 |       0.5688 |      1.0000e-04 |
|     197 |        3540 |       00:57:30 |      100.00% |       83.82% |   5.2413e-06 |       0.5725 |      1.0000e-04 |
|     198 |        3550 |       00:57:39 |      100.00% |              |   5.4519e-06 |              |      1.0000e-04 |
|     199 |        3570 |       00:57:59 |      100.00% |       83.82% |   3.0716e-06 |       0.5760 |      1.0000e-04 |
|     200 |        3600 |       00:58:29 |      100.00% |       83.82% |   3.6240e-06 |       0.5805 |      1.0000e-04 |
|======================================================================================================================|

accuracy =

     1

